target,prediction,n
0,0,100
0,1,53
0,2,211
0,3,240
0,4,32
0,5,10
0,6,3
0,7,0
0,8,0
1,0,84
1,1,18
1,2,191
1,3,215
1,4,58
1,5,6
1,6,11
1,7,2
1,8,0
2,0,385
2,1,306
2,2,1378
2,3,1745
2,4,136
2,5,65
2,6,83
2,7,13
2,8,0
3,0,511
3,1,409
3,2,2026
3,3,7099
3,4,547
3,5,151
3,6,378
3,7,19
3,8,0
4,0,120
4,1,145
4,2,331
4,3,740
4,4,4378
4,5,19
4,6,343
4,7,34
4,8,0
5,0,55
5,1,45
5,2,284
5,3,621
5,4,128
5,5,52606
5,6,57
5,7,3
5,8,1
6,0,50
6,1,82
6,2,314
6,3,707
6,4,480
6,5,20
6,6,1835
6,7,11
6,8,0
7,0,0
7,1,9
7,2,26
7,3,40
7,4,126
7,5,6
7,6,101
7,7,75
7,8,0
8,0,0
8,1,1
8,2,2
8,3,23
8,4,1
8,5,2
8,6,10
8,7,0
8,8,5
