target,prediction,n
0,0,92
0,1,59
0,2,208
0,3,244
0,4,34
0,5,8
0,6,4
0,7,0
0,8,0
1,0,70
1,1,23
1,2,195
1,3,212
1,4,67
1,5,6
1,6,10
1,7,2
1,8,0
2,0,375
2,1,254
2,2,1373
2,3,1810
2,4,154
2,5,63
2,6,71
2,7,11
2,8,0
3,0,494
3,1,363
3,2,2040
3,3,7117
3,4,562
3,5,165
3,6,381
3,7,18
3,8,0
4,0,120
4,1,132
4,2,348
4,3,749
4,4,4343
4,5,24
4,6,356
4,7,38
4,8,0
5,0,50
5,1,40
5,2,287
5,3,639
5,4,131
5,5,52594
5,6,55
5,7,3
5,8,1
6,0,40
6,1,80
6,2,307
6,3,727
6,4,469
6,5,18
6,6,1846
6,7,12
6,8,0
7,0,0
7,1,6
7,2,25
7,3,45
7,4,129
7,5,7
7,6,92
7,7,79
7,8,0
8,0,0
8,1,1
8,2,3
8,3,23
8,4,1
8,5,2
8,6,9
8,7,0
8,8,5
