target,prediction,n
0,0,35
0,1,0
0,2,16
0,3,558
0,4,27
0,5,4
0,6,9
0,7,0
0,8,0
1,0,0
1,1,0
1,2,8
1,3,458
1,4,67
1,5,6
1,6,46
1,7,0
1,8,0
2,0,0
2,1,0
2,2,132
2,3,3515
2,4,237
2,5,36
2,6,191
2,7,0
2,8,0
3,0,3
3,1,0
3,2,129
3,3,9643
3,4,923
3,5,93
3,6,349
3,7,0
3,8,0
4,0,3
4,1,0
4,2,16
4,3,875
4,4,4560
4,5,55
4,6,601
4,7,0
4,8,0
5,0,8
5,1,0
5,2,14
5,3,1034
5,4,298
5,5,52380
5,6,66
5,7,0
5,8,0
6,0,0
6,1,0
6,2,37
6,3,985
6,4,684
6,5,22
6,6,1771
6,7,0
6,8,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,177
7,5,0
7,6,206
7,7,0
7,8,0
8,0,0
8,1,0
8,2,0
8,3,29
8,4,2
8,5,12
8,6,1
8,7,0
8,8,0
