target,prediction,n
0,0,38
0,1,0
0,2,17
0,3,554
0,4,23
0,5,6
0,6,11
0,7,0
0,8,0
1,0,0
1,1,0
1,2,9
1,3,461
1,4,53
1,5,15
1,6,47
1,7,0
1,8,0
2,0,0
2,1,0
2,2,113
2,3,3445
2,4,278
2,5,75
2,6,200
2,7,0
2,8,0
3,0,3
3,1,0
3,2,114
3,3,9503
3,4,977
3,5,166
3,6,377
3,7,0
3,8,0
4,0,1
4,1,0
4,2,19
4,3,912
4,4,4458
4,5,73
4,6,647
4,7,0
4,8,0
5,0,10
5,1,0
5,2,12
5,3,1019
5,4,312
5,5,52388
5,6,59
5,7,0
5,8,0
6,0,0
6,1,0
6,2,32
6,3,960
6,4,736
6,5,21
6,6,1750
6,7,0
6,8,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,171
7,5,0
7,6,212
7,7,0
7,8,0
8,0,0
8,1,0
8,2,0
8,3,31
8,4,1
8,5,10
8,6,2
8,7,0
8,8,0
