target,prediction,n
0,0,125
0,1,0
0,2,43
0,3,444
0,4,28
0,5,8
0,6,1
0,7,0
0,8,0
1,0,0
1,1,35
1,2,34
1,3,472
1,4,35
1,5,3
1,6,4
1,7,2
1,8,0
2,0,9
2,1,4
2,2,485
2,3,3361
2,4,117
2,5,76
2,6,30
2,7,29
2,8,0
3,0,61
3,1,12
3,2,490
3,3,9784
3,4,379
3,5,197
3,6,184
3,7,32
3,8,1
4,0,10
4,1,2
4,2,71
4,3,720
4,4,5125
4,5,31
4,6,90
4,7,61
4,8,0
5,0,10
5,1,4
5,2,84
5,3,681
5,4,93
5,5,52896
5,6,20
5,7,11
5,8,1
6,0,5
6,1,5
6,2,70
6,3,767
6,4,25
6,5,5
6,6,2619
6,7,3
6,8,0
7,0,0
7,1,0
7,2,3
7,3,66
7,4,92
7,5,5
7,6,20
7,7,197
7,8,0
8,0,0
8,1,0
8,2,1
8,3,27
8,4,3
8,5,2
8,6,0
8,7,1
8,8,10
