target,prediction,n
0,0,119
0,1,1
0,2,144
0,3,316
0,4,56
0,5,13
0,6,0
0,7,0
0,8,0
1,0,2
1,1,48
1,2,145
1,3,325
1,4,55
1,5,3
1,6,3
1,7,4
1,8,0
2,0,3
2,1,1
2,2,1061
2,3,2873
2,4,98
2,5,27
2,6,15
2,7,32
2,8,1
3,0,19
3,1,9
3,2,1348
3,3,9179
3,4,291
3,5,78
3,6,174
3,7,39
3,8,3
4,0,9
4,1,8
4,2,155
4,3,561
4,4,5335
4,5,11
4,6,3
4,7,28
4,8,0
5,0,6
5,1,2
5,2,165
5,3,536
5,4,50
5,5,53024
5,6,7
5,7,9
5,8,1
6,0,3
6,1,4
6,2,177
6,3,612
6,4,10
6,5,4
6,6,2685
6,7,4
6,8,0
7,0,0
7,1,0
7,2,3
7,3,51
7,4,61
7,5,4
7,6,5
7,7,259
7,8,0
8,0,0
8,1,0
8,2,1
8,3,27
8,4,1
8,5,1
8,6,0
8,7,1
8,8,13
