target,prediction,n
0,0,61
0,1,0
0,2,10
0,3,509
0,4,48
0,5,16
0,6,5
0,7,0
0,8,0
1,0,0
1,1,0
1,2,17
1,3,510
1,4,49
1,5,5
1,6,4
1,7,0
1,8,0
2,0,1
2,1,3
2,2,130
2,3,3573
2,4,290
2,5,36
2,6,58
2,7,19
2,8,1
3,0,16
3,1,8
3,2,261
3,3,8825
3,4,1496
3,5,135
3,6,366
3,7,27
3,8,6
4,0,13
4,1,10
4,2,124
4,3,2942
4,4,2550
4,5,134
4,6,232
4,7,97
4,8,8
5,0,4
5,1,1
5,2,53
5,3,1015
5,4,275
5,5,52384
5,6,48
5,7,20
5,8,0
6,0,3
6,1,2
6,2,49
6,3,1674
6,4,391
6,5,34
6,6,1338
6,7,8
6,8,0
7,0,1
7,1,0
7,2,9
7,3,136
7,4,118
7,5,16
7,6,29
7,7,73
7,8,1
8,0,0
8,1,0
8,2,3
8,3,27
8,4,9
8,5,1
8,6,2
8,7,1
8,8,1
